2021-01-21 08:24:53.312000, D_Hour, D_Minute, D_RTC.Hour, D_RTC.Minute, D_RTC.Second, 
2021-01-21 08:24:53.823000, 12, 26, 11, 57, 14, 
2021-01-21 08:38:27.550000, D_Hour, D_Minute, D_RTC.Hour, D_RTC.Minute, D_RTC.Second, 
2021-01-21 08:38:28.052000, 12, 39, 11, 57, 14, 
2021-01-21 08:38:43.299000, 12, 40, 11, 57, 14, 
2021-01-21 08:39:43.314000, 12, 41, 11, 57, 14, 
2021-01-21 08:40:43.416000, 12, 42, 11, 57, 14, 
2021-01-21 08:41:43.420000, 12, 43, 11, 57, 14, 
2021-01-21 08:42:43.337000, 12, 44, 11, 57, 14, 
2021-01-21 08:43:43.193000, 12, 45, 11, 57, 14, 
2021-01-21 08:44:43.606000, 12, 46, 11, 57, 14, 
2021-01-21 08:45:43.416000, 12, 47, 11, 57, 14, 
2021-01-21 08:46:43.513000, 12, 48, 11, 57, 14, 
2021-01-21 08:47:43.119000, 12, 49, 11, 57, 14, 
2021-01-21 08:48:43.244000, 12, 50, 11, 57, 14, 
2021-01-21 08:49:43.601000, 12, 51, 11, 57, 14, 
2021-01-21 08:50:43.308000, 12, 52, 11, 57, 14, 
2021-01-21 08:51:43.344000, 12, 53, 11, 57, 14, 
2021-01-21 08:52:43.170000, 12, 54, 11, 57, 14, 
2021-01-21 08:53:43.597000, 12, 55, 11, 57, 14, 
2021-01-21 08:54:43.268000, 12, 56, 11, 57, 14, 
2021-01-21 08:55:43.340000, 12, 57, 11, 57, 14, 
2021-01-21 08:56:07.668000, 12, 57, 12, 57, 25, 
2021-01-21 08:56:42.603000, 12, 58, 12, 57, 25, 
2021-01-21 08:57:42.814000, 12, 59, 12, 57, 25, 
2021-01-21 08:58:42.662000, 13, 0, 12, 57, 25, 
2021-01-21 08:59:42.542000, 13, 1, 12, 57, 25, 
2021-01-21 09:00:43.013000, 13, 2, 12, 57, 25, 
2021-01-21 09:01:43.051000, 13, 3, 12, 57, 25, 
2021-01-21 09:02:43.006000, 13, 4, 12, 57, 25, 
2021-01-21 09:03:42.982000, 13, 5, 12, 57, 25, 
2021-01-21 09:04:42.649000, 13, 6, 12, 57, 25, 
2021-01-21 09:05:42.773000, 13, 7, 12, 57, 25, 
2021-01-21 09:06:42.496000, 13, 8, 12, 57, 25, 
2021-01-21 09:07:42.647000, 13, 9, 12, 57, 25, 
2021-01-21 09:08:42.580000, 13, 10, 12, 57, 25, 
2021-01-21 09:09:42.580000, 13, 11, 12, 57, 25, 
2021-01-21 09:10:42.813000, 13, 12, 12, 57, 25, 
2021-01-21 09:11:42.951000, 13, 13, 12, 57, 25, 
2021-01-21 09:12:42.670000, 13, 14, 12, 57, 25, 
2021-01-21 09:13:42.999000, 13, 15, 12, 57, 25, 
2021-01-21 09:14:42.780000, 13, 16, 12, 57, 25, 
2021-01-21 09:15:42.769000, 13, 17, 12, 57, 25, 
2021-01-21 09:16:43.013000, 13, 18, 12, 57, 25, 
2021-01-21 09:17:42.480000, 13, 19, 12, 57, 25, 
2021-01-21 09:18:42.987000, 13, 20, 12, 57, 25, 
